127.0.0.1 - - [14/Sep/2021:16:31:22 +0900] "GET / HTTP/1.1" 200 63830
0:0:0:0:0:0:0:1 - - [14/Sep/2021:16:32:00 +0900] "GET /emp/list HTTP/1.1" 200 49271
0:0:0:0:0:0:0:1 - - [14/Sep/2021:16:32:03 +0900] "GET /cus/list HTTP/1.1" 200 47400
0:0:0:0:0:0:0:1 - - [14/Sep/2021:16:32:03 +0900] "GET /favicon.ico HTTP/1.1" 404 39439
0:0:0:0:0:0:0:1 - - [14/Sep/2021:16:32:20 +0900] "POST /emp/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Sep/2021:16:32:26 +0900] "POST /emp/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Sep/2021:16:32:26 +0900] "GET /emp/list HTTP/1.1" 200 49801
0:0:0:0:0:0:0:1 - - [14/Sep/2021:16:32:26 +0900] "GET /resources/adminlte/dist/img/user2-160x160.jpg HTTP/1.1" 200 6905
0:0:0:0:0:0:0:1 - - [14/Sep/2021:16:32:26 +0900] "GET /resources/images/logout.png HTTP/1.1" 200 3082
0:0:0:0:0:0:0:1 - - [14/Sep/2021:16:32:27 +0900] "GET /emp/detail/202108117 HTTP/1.1" 200 45231
0:0:0:0:0:0:0:1 - - [14/Sep/2021:16:32:27 +0900] "GET /resources/js/ddit.min.js HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [14/Sep/2021:16:32:33 +0900] "POST /emp/update HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Sep/2021:16:32:33 +0900] "GET /emp/detail/202108117?result=ok HTTP/1.1" 200 45258
0:0:0:0:0:0:0:1 - - [14/Sep/2021:16:33:04 +0900] "GET /cus/list HTTP/1.1" 200 47748
0:0:0:0:0:0:0:1 - - [14/Sep/2021:16:33:06 +0900] "GET /cus/detail?cusNum=8 HTTP/1.1" 200 49348
0:0:0:0:0:0:0:1 - - [14/Sep/2021:16:33:06 +0900] "GET /resources//upload/2021/08/19/757cd105-7c9e-4aba-8dc7-60bb99640aae_404.png HTTP/1.1" 404 39388
0:0:0:0:0:0:0:1 - - [14/Sep/2021:16:33:10 +0900] "POST /cus/update HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Sep/2021:16:33:10 +0900] "GET /cus/detail?cusNum=8 HTTP/1.1" 200 49348
0:0:0:0:0:0:0:1 - - [14/Sep/2021:16:33:10 +0900] "GET /resources//upload/2021/08/19/757cd105-7c9e-4aba-8dc7-60bb99640aae_404.png HTTP/1.1" 404 39388
0:0:0:0:0:0:0:1 - - [14/Sep/2021:16:33:14 +0900] "POST /cus/update HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Sep/2021:16:33:14 +0900] "GET /cus/detail?cusNum=8 HTTP/1.1" 200 49348
0:0:0:0:0:0:0:1 - - [14/Sep/2021:16:33:14 +0900] "GET /resources//upload/2021/08/19/757cd105-7c9e-4aba-8dc7-60bb99640aae_404.png HTTP/1.1" 404 39388
0:0:0:0:0:0:0:1 - - [14/Sep/2021:16:33:21 +0900] "POST /cus/update HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Sep/2021:16:33:21 +0900] "GET /cus/detail?cusNum=8 HTTP/1.1" 200 49348
0:0:0:0:0:0:0:1 - - [14/Sep/2021:16:33:21 +0900] "GET /resources//upload/2021/08/19/757cd105-7c9e-4aba-8dc7-60bb99640aae_404.png HTTP/1.1" 404 39388
